material,wE,lambda,cap,band_rms_eV,kappa_min,eig_penalty,final_misfit_Ha
Bi111,0.05,0.001,0.75,0.16156299,1.11E-03,2.39504168,0.008073769
Bi111,0.05,0.001,1,0.16156299,1.11E-03,2.39504168,0.008073769
Bi111,0.05,0.001,1.25,0.16156299,1.11E-03,2.39504168,0.008073769
Bi111,0.05,0.005,0.75,0.203759,2.66E-03,2.06927,0.014457563
Bi111,0.05,0.005,1,0.12753719,1.13E-03,2.3707887,0.013491598
Bi111,0.05,0.005,1.25,0.12962104,1.13E-03,2.35434492,0.015339523
Bi111,0.05,0.01,0.75,0.14954408,5.90E-04,2.5956754,0.010427094
Bi111,0.05,0.01,1,0.204524,2.81E-03,2.05975,0.016847273
Bi111,0.05,0.01,1.25,0.41890051,2.76E-03,2.08961012,NaN
Bi111,0.1,0.001,0.75,0.276245,2.43E-03,2.11723,0.012011317
Bi111,0.1,0.001,1,0.27625789,2.43E-03,2.09905528,0.011998587
Bi111,0.1,0.001,1.25,0.276245,2.43E-03,2.11723,0.012011317
Bi111,0.1,0.005,0.75,0.174881,2.01E-03,2.16906,0.015500811
Bi111,0.1,0.005,1,0.174992,2.01E-03,2.16827,0.016757041
Bi111,0.1,0.005,1.25,0.174992,2.01E-03,2.16827,0.016757041
Bi111,0.1,0.01,0.75,0.20433714,1.30E-04,3.57002352,NaN
Bi111,0.1,0.01,1,0.186389,1.88E-03,2.25886,0.015228663
Bi111,0.1,0.01,1.25,0.200193,2.32E-03,2.08733,0.019099496
Bi111,0.15,0.001,0.75,0.233802,1.45E-03,2.16028,0.01074063
Bi111,0.15,0.001,1,0.233802,1.45E-03,2.16028,0.01074063
Bi111,0.15,0.001,1.25,0.233802,1.45E-03,2.16028,0.01074063
Bi111,0.15,0.005,0.75,0.237082,1.51E-03,2.13949,0.016253363
Bi111,0.15,0.005,1,0.23659115,1.51E-03,2.13731932,0.01714846
Bi111,0.15,0.005,1.25,0.236591,1.51E-03,2.13732,0.01714846
Bi111,0.15,0.01,0.75,0.218364,2.07E-03,2.26868,0.014322468
Bi111,0.15,0.01,1,0.19938,1.78E-03,2.19545,0.017140156
Bi111,0.15,0.01,1.25,0.43465,3.34E-03,2.05964,0.031300646
